starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	95
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	95
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:04 2021	1613039404	0	100	101	97
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	100
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	98
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	95
Thu Feb 11 18:30:05 2021	1613039405	0	101	101	100
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	97
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	97
Thu Feb 11 18:30:02 2021	1613039402	12	89	101	89
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	98
Thu Feb 11 18:30:03 2021	1613039403	1	100	101	100
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	101
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	95
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	96
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	98
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	98
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	100
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	96
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	99
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	100
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	100
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	100
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	101
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	99
Thu Feb 11 18:30:03 2021	1613039403	1	100	101	100
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	96
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	99
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	100
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	97
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	101
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	95
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	99
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	99
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	99
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	95
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	96
Thu Feb 11 18:30:05 2021	1613039405	0	101	101	100
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	94
Thu Feb 11 18:30:03 2021	1613039403	0	101	101	101
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	100
Thu Feb 11 18:30:04 2021	1613039404	0	101	101	101
Thu Feb 11 18:30:02 2021	1613039402	11	91	101	91
Thu Feb 11 18:30:04 2021	1613039404	0	101	102	99
Thu Feb 11 18:30:04 2021	1613039404	0	101	102	99
Thu Feb 11 18:30:03 2021	1613039403	0	101	102	101
Thu Feb 11 18:30:03 2021	1613039403	0	101	102	101
